SoftwareName;FQNClass;CollectionVariables;AddListenerMethod;RemoveListenerMethod;ClassDeclarationKeyword;MethodsDeclarationKeyword;ClassType;ScanCollectionsMethod;SCMCallsAbsMethod;HasSuperclass;ImplementsInterfaces;ChangeState;AfterChangeStateIterateOverList;Role
JHotDraw60;org.jhotdraw.framework.DrawingChangeListener;1;1;1;2;2;3;1;1;1;1;1;1;1
JHotDraw60;org.jhotdraw.framework.ViewChangeListener.java;1;1;1;2;2;3;1;1;2;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\framework\Tool.java;1;1;1;3;3;3;1;1;1;1;1;1;1
JUnit37;junit\framework\TestListener.java;1;1;1;2;3;3;1;1;1;1;1;1;1
MapperXML197;com.taursys.xml.event.InputListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\framework\DrawingView.java;1;1;1;2;2;3;1;1;2;1;1;1;1
JHotDraw60;org.jhotdraw.util.PaletteListener.java;1;1;1;2;3;3;1;1;1;1;1;1;1
JRefactory2624;org.acm.seguin.refactor.TransformAST.java;1;1;1;3;2;2;1;1;1;1;1;1;1
MapperXML197;com.taursys.xml.event.InitFormListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
JHotDraw60;org.jhotdraw.framework.ToolListener.java;1;1;1;2;3;3;1;1;1;1;1;1;1
MapperXML197;com.taursys.xml.event.TriggerListener.java;1;1;1;2;3;3;1;1;2;1;1;1;1
JHotDraw v5.1;src\CH\ifa\draw\framework\FigureChangeListener.java;1;1;1;2;2;3;1;1;2;1;1;1;1
MapperXML197;com.taursys.swing.MComboBoxModel.java;2;2;2;3;1;1;2;2;2;2;2;2;2
QuickUML2001;diagram.DefaultSelectionModel.java;2;2;2;3;1;1;2;2;2;1;2;2;2
QuickUML2001;diagram.DefaultDiagramModel.java;2;2;2;3;1;1;2;2;2;2;2;2;2
JRefactory2624;org.acm.seguin.refactor.ComplexTransform.java;2;2;2;3;3;1;2;2;1;1;2;1;2
JHotDraw v5.1;src\CH\ifa\draw\standard\StandardDrawing.java;2;2;2;3;1;1;2;2;2;2;2;2;2
JHotDraw v5.1;src\CH\ifa\draw\standard\ChangeConnectionEndHandle.java;1;1;1;3;3;1;1;1;2;1;2;1;2
JHotDraw60;org.jhotdraw.standard.StandardDrawingView;2;2;2;3;1;1;2;2;2;2;2;2;2
